Taxon Name,L001-001-981789527_S1,L001-002-232189519_S2,L001-003-981791405_S3,L001-004-981791340_S4,L001-005-232196117_S5,L001-006-232196145_S6,L001-007-232196139_S7,L001-012-NTC-RPIP-LT001_S12
Macrophomina phaseolina,,0.3340707,,0.6297507,0.3436832,,,
Corynebacterium kutscheri,0.651238,,0.264302,0.6297507,0.1718416,,0.2563687,
Corynebacterium cystitidis,,,,0.6297507,0.1718416,,,
Aspergillus fischeri,0.325619,0.3340707,,0.6297507,0.3436832,,,
Penicillium digitatum,0.651238,0.3340707,0.132151,0.6297507,,,0.2563687,
Pseudomonas cichorii,0.325619,400.5507213,0.396453,0.6297507,15.4657458,1.7972018,7.1783223,
Corynebacterium bovis,0.651238,0.3340707,,0.6297507,0.1718416,,0.2563687,
Mycolicibacterium rhodesiae,1.9537139,1.3362826,1.3215099,0.6297507,1.2028913,0.163382,1.0254746,
Gordonia rubripertincta,1.3024759,,,0.6297507,,,,
Talaromyces marneffei,1.9537139,0.3340707,,0.6297507,0.1718416,,0.1281843,
Corynebacterium minutissimum,,1.6703533,0.9250569,0.6297507,0.6873665,,5.7682947,
Eubacterium ventriosum,,0.3340707,,0.6297507,,,,
Tricholoma matsutake,,,0.132151,0.6297507,,,,
Lentzea albidocapillata,,,,0.6297507,,,,
Xenorhabdus bovienii,0.325619,0.3340707,,0.6297507,0.1718416,,,
Succiniclasticum ruminis,,0.6681413,,0.6297507,,,,
Penicilliopsis zonata,,0.3340707,,0.6297507,,,,
Aspergillus glaucus,0.651238,0.3340707,0.132151,0.6297507,,,0.1281843,
Fusarium heterosporum,,,,0.6297507,,,,
Wilcoxina mikolae,,,,0.6297507,,,,
Galactomyces reessii,,,0.264302,0.6297507,,,,
Paenibacillus macerans,,0.3340707,0.132151,0.6297507,,,,
Nitrosomonas ureae,,0.3340707,,0.6297507,0.3436832,,,
Haematococcus lacustris,,,,0.6297507,,,,
Aureobasidium melanogenum,0.325619,0.3340707,0.132151,0.6297507,,,0.1281843,
Pseudomonas nitroreducens,0.325619,4.3429186,0.6607549,0.6297507,59.2853588,0.8169099,6.281032,
Bacteroides caccae,,0.3340707,0.132151,0.6297507,0.3436832,,,
Tetrabaena socialis,,,,0.6297507,,,,
Pseudomonas citronellolis,,1.3362826,0.132151,0.6297507,2.7494659,,0.2563687,
Ascoidea rubescens,,,,0.6297507,,,,
[Eubacterium] infirmum,,,,0.6297507,,,,
Rhizopus microsporus,0.976857,8.6858372,0.7929059,0.6297507,19.5899447,0.326764,0.8972903,
Angomonas deanei,,,,0.6297507,,,,
Castanea mollissima,0.976857,,,0.6297507,1682.1576159,,0.1281843,
Monilinia laxa,0.325619,,,0.6297507,0.1718416,,,
Ophiostoma piceae,,,,0.6297507,,,0.1281843,
Coniosporium apollinis,1.6280949,0.6681413,0.264302,0.6297507,0.3436832,,0.1281843,
Corynebacterium durum,0.976857,2.004424,0.132151,0.6297507,,,,
Golovinomyces magnicellulatus,0.325619,,,0.6297507,0.6873665,,,
Trichophyton benhamiae,,,,0.6297507,,,,
Lepista nuda,,,,0.6297507,,,,
Komagataeibacter intermedius,,0.3340707,,0.6297507,0.1718416,,,
Streptomyces mutabilis,,,0.132151,0.6297507,,0.163382,0.5127373,
Streptomyces termitum,,,,0.6297507,,,,
Sphaerobolus stellatus,,,,0.6297507,,,,
Emmonsia crescens,0.651238,0.3340707,,0.6297507,,,0.1281843,
Brevundimonas mediterranea,,,,0.6297507,,,,
Collinsella aerofaciens,,1.002212,0.528604,0.6297507,0.3436832,,0.5127373,
Alloprevotella tannerae,,0.6681413,,0.6297507,,,,
Oidiodendron maius,,,0.132151,0.6297507,0.1718416,0.163382,,
Alkalihalobacillus clausii,,1.6703533,0.132151,0.6297507,,,,
Achromobacter xylosoxidans,12.3735214,117.2588016,,0.6297507,132.8335721,4.0845495,16.2794095,
Didymosphaeria enalia,,,0.264302,0.6297507,,0.326764,,
Rhinocladiella mackenziei,0.325619,0.3340707,0.132151,0.6297507,,,,
Tilletiopsis lilacina,,,0.132151,0.6297507,,,,
Blautia luti,,,,0.6297507,,,,
Curvularia kusanoi,0.651238,,0.132151,0.6297507,0.3436832,,0.1281843,
Mucor ambiguus,0.325619,1.3362826,,0.6297507,0.1718416,0.163382,0.5127373,
Cupriavidus oxalaticus,0.325619,1.002212,0.396453,0.6297507,,,0.1281843,
Eutypa lata,0.325619,,,0.6297507,,,,
Pleomassaria siparia,0.976857,,,0.6297507,,,0.2563687,
Aspergillus awamori,,,,0.6297507,,,,
Hibiscus syriacus,,,,0.6297507,,,,
Cupriavidus necator,,1.002212,,0.6297507,1.0310497,,0.1281843,
Hyphomicrobium sp. GJ21,2.2793329,1.3362826,0.264302,0.6297507,0.1718416,,,
Halomonas muralis,,,,0.6297507,,,,
Propionibacterium australiense,,,,0.6297507,,,,
Nocardia abscessus,,,,0.6297507,,0.163382,,
Anthonomus eugenii,0.651238,,,0.6297507,,,,
Citrobacter youngae,14.3272354,,1154.2067439,0.6297507,502.9804211,825.7325313,750.0064982,
Cercospora zeae-maydis,0.325619,,,0.6297507,0.3436832,,,
Serratia quinivorans,,5.3451306,,0.6297507,,0.163382,112.2894706,
Aspergillus ochraceoroseus,4081.9596011,,493.9803995,0.6297507,,,98.1891946,
Terfezia claveryi,0.976857,0.3340707,0.132151,0.6297507,,,,
Piedraia hortae,,,,0.6297507,,,,
Lactobacillus iners,0.325619,2.3384946,,0.6297507,0.5155249,,0.1281843,
Lentilactobacillus parakefiri,,,0.132151,0.6297507,,0.163382,0.1281843,
Corynebacterium mastitidis,0.325619,,0.264302,0.6297507,0.1718416,,,
Peltigera membranacea,0.976857,,,0.6297507,,,,
Pisolithus microcarpus,0.325619,,,0.6297507,0.1718416,,0.1281843,
Culicoides sonorensis,,1.002212,,0.6297507,,,,
Elysia chlorotica,0.325619,,0.528604,0.6297507,0.1718416,0.4901459,0.1281843,
Bacillus aquimaris,,2.004424,,0.6297507,,,0.384553,
Corynebacterium atypicum,,,0.264302,0.6297507,,0.4901459,,
Mikania micrantha,,,0.6607549,0.6297507,0.3436832,,0.384553,
Polyrhachis schistacea,,,,0.6297507,,,,
Aeromonas dhakensis,0.651238,1.3362826,0.132151,0.6297507,,0.163382,0.384553,
uncultured Desulfobacterium sp.,,,0.6607549,0.6297507,,,0.2563687,
Ascochyta lentis,,,,0.6297507,,,,
Bowdeniella nasicola,,,,0.6297507,,,0.384553,
Ricasolia amplissima,0.325619,,,0.6297507,,,,
Garciella nitratireducens,0.325619,,,0.6297507,0.3436832,,,
Algibacter lectus,,,,0.6297507,,,,
Phaeoacremonium minimum,,,,0.6297507,,,,
Clostridium diolis,,0.3340707,0.132151,0.6297507,,,0.384553,
Crassicarpon thermophilum,,,,0.6297507,,,,
Grosmannia clavigera,,,,0.6297507,,,,
Collozoum inerme,,,,0.6297507,,,,
Haemophilus pittmaniae,0.325619,,0.132151,0.6297507,0.6873665,44.1131348,0.2563687,
Pseudonocardia ammonioxydans,,,,0.6297507,,,,
Intestinibacter bartlettii,0.651238,1.3362826,,0.6297507,,,,
Komagataeibacter nataicola,,,,0.6297507,,,,
Nesterenkonia sandarakina,,,,0.6297507,0.1718416,,,
Lecophagus sp. ATCC 56071,,,,0.6297507,,,,
Sporothrix luriei,,,,0.6297507,,,,
Cyphellophora europaea,0.325619,,,0.6297507,0.1718416,,,
Karstenula rhodostoma,,,,0.6297507,,,,
Aspergillus ibericus,,,,0.6297507,,,,
Penicillium steckii,,,0.132151,0.6297507,0.1718416,,,
Candidatus Liberibacter americanus,0.325619,,0.264302,0.6297507,0.1718416,,0.384553,
Niphargus rhenorhodanensis,,,,0.6297507,,,,
Aspergillus fumigatiaffinis,,,,0.6297507,,,,
Cercospora zeina,0.325619,0.6681413,,0.6297507,,,,
Hyphodiscus hymeniophilus,,0.3340707,,0.6297507,,,,
uncultured marine bacterium Ant4D3,2.9305709,,0.264302,0.6297507,,0.8169099,,
Endocarpon pusillum,1.3024759,0.3340707,0.264302,0.6297507,0.3436832,,,
Ceratocystis cacaofunesta,,,,0.6297507,,,,
Nemania diffusa,0.325619,,,0.6297507,,,,
Salinivibrio sharmensis,2.2793329,0.6681413,0.9250569,0.6297507,3.7805156,0.8169099,2.1791336,
Lophium mytilinum,0.976857,0.6681413,,0.6297507,,,,
Trematosphaeria pertusa,0.325619,,0.132151,0.6297507,,,,
Anaerobacillus alkalilacustris,,,,0.6297507,,,,
Cylindrobasidium torrendii,,,,0.6297507,,,,
Agrococcus jejuensis,,,,0.6297507,,,,
Azonexus hydrophilus,,,,0.6297507,,,,
Alloscardovia omnicolens,,0.3340707,,0.6297507,,,,
Dactylellina haptotyla,0.325619,,,0.6297507,,0.163382,,
Chthonomonas calidirosea,,,,0.6297507,,,,
Rhizoctonia solani,0.325619,0.3340707,,0.6297507,0.3436832,0.326764,0.1281843,
Bacteroides sp. 3_1_33FAA,,,,0.6297507,0.1718416,,,
Bacteroides sp. 2_1_22,,,,0.6297507,,,,
Burkholderia lata,,,0.132151,0.6297507,,,0.1281843,
Cloacibacterium rupense,,,,0.6297507,,,,
Elaphomyces granulatus,,,0.132151,0.6297507,,,,
Brucella sp. 83/13,,,,0.6297507,13.7473296,,0.1281843,
Trichophyton mentagrophytes,,,,0.6297507,,,,
Sporothrix brasiliensis,,,,0.6297507,,0.163382,,
Aspergillus cristatus,0.325619,0.6681413,0.396453,0.6297507,0.1718416,,0.1281843,
Glonium stellatum,0.976857,,0.132151,0.6297507,0.1718416,,,
Pseudoalteromonas sp. S3173,,,,0.6297507,,,,
Kytococcus aerolatus,,,,0.6297507,0.1718416,,,
Corynebacterium pyruviciproducens,0.976857,0.3340707,0.6607549,0.6297507,,,,
Oceanisphaera arctica,0.325619,,0.396453,0.6297507,0.1718416,0.4901459,0.384553,
Actinomyces sp. oral taxon 849,,1.6703533,0.264302,0.6297507,0.3436832,,,
Pseudomonas sp. CMR5c,,,,0.6297507,,,,
Lachnospiraceae bacterium 6_1_37FAA,,0.3340707,0.132151,0.6297507,,,,
Neisseria sp. GT4A_CT1,,1.6703533,,0.6297507,,,,
Polyplosphaeria fusca,0.976857,,0.264302,0.6297507,,,,
Micromonospora yangpuensis,0.325619,,,0.6297507,,,,
Pseudocercospora fuligena,,,,0.6297507,0.3436832,,0.1281843,
Microthyrium microscopicum,0.976857,,,0.6297507,0.5155249,,0.1281843,
Clathrospora elynae,0.325619,,,0.6297507,0.3436832,,,
Micromonospora zamorensis,,,,0.6297507,,,,
uncultured alpha proteobacterium HF0070_14E07,,,0.396453,0.6297507,0.1718416,0.163382,0.384553,
uncultured Verrucomicrobiales bacterium HF0010_05E02,,,0.264302,0.6297507,0.1718416,,0.1281843,
Neomicrococcus lactis,,,,0.6297507,,,,
Lepidopterella palustris,0.976857,,,0.6297507,,0.163382,,
Moraxella macacae,,0.3340707,,0.6297507,,,,
Stagonospora sp. SRC1lsM3a,,,,0.6297507,,,0.1281843,
Trinickia symbiotica,,,,0.6297507,,,,
Dendrobium catenatum,0.325619,,,0.6297507,,,,
Rubrobacter aplysinae,,,,0.6297507,,,,
Desulfosporosinus sp. OT,1.3024759,,,0.6297507,,,,
Propionibacterium sp. 409-HC1,,,0.132151,0.6297507,,,0.1281843,
Rhizopus delemar,1.6280949,2.6725653,0.132151,0.6297507,1.2028913,0.163382,1.2818433,
Amycolatopsis bullii,,,,0.6297507,,,,
Diplocarpon rosae,0.325619,,,0.6297507,,,,
Dissophora globulifera,,,,0.6297507,,,,
Fonsecaea multimorphosa,0.325619,0.3340707,,0.6297507,0.1718416,,,
Morus notabilis,,,0.396453,0.6297507,0.1718416,0.8169099,1.7945806,
Providencia thailandensis,,,0.132151,0.6297507,0.3436832,0.326764,0.2563687,
Streptomyces himastatinicus,0.651238,0.3340707,,0.6297507,,0.163382,,
Hypoxylon sp. CI-4A,0.325619,,,0.6297507,,0.326764,,
Prevotella sp. MSX73,,,,0.6297507,,,,
Epichloe sinica,,,,0.6297507,,,,
Tothia fuscella,0.651238,1.3362826,0.396453,0.6297507,0.3436832,40.8454952,,
Corynebacterium epidermidicanis,0.325619,,,0.6297507,,,,
Janthinobacterium sp. CG3,,,,0.6297507,,,,
Phialocephala turicensis,,0.6681413,,0.6297507,,,,
Elsinoe erythrinae,,,,0.6297507,,,,
Rhizobium sp. NT-26,,,,0.6297507,,,,
Kosakonia sacchari,0.325619,,,0.6297507,0.3436832,,,
Morchella importuna,,0.3340707,,0.6297507,0.1718416,,,
Spirosoma montaniterrae,,,,0.6297507,,,,
Talaromyces amestolkiae,,,,0.6297507,,,,
Bacteriovorax sp. BAL6_X,,,,0.6297507,,,,
Corynebacterium sp. KPL1814,0.651238,,0.396453,0.6297507,0.1718416,,,
Corynebacterium sp. KPL1856,0.325619,,0.7929059,0.6297507,1.2028913,,,
Propionibacterium sp. KPL1849,0.976857,,,0.6297507,,,,
Corynebacterium sp. KPL1996,,,0.132151,0.6297507,0.1718416,,,
Propionibacterium sp. KPL2008,,,0.132151,0.6297507,,,,
Pedobacter nutrimenti,0.651238,,,0.6297507,,,,
Lachancea lanzarotensis,0.325619,,,0.6297507,,,,
Sutterella sp. CAG:521,0.325619,,,0.6297507,0.6873665,,,
Acidovorax sp. MR-S7,,,,0.6297507,,,,
Pseudomonas sp. ATCC 13867,0.325619,,,0.6297507,1.8902578,,,
Arthrobacter sp. H14,,,,0.6297507,,,,
Ophiocordyceps polyrhachis-furcata,,0.3340707,0.264302,0.6297507,0.1718416,,,
Ralstonia sp. UNC404CL21Col,,,,0.6297507,,,,
Ophiocordyceps australis,0.651238,,0.132151,0.6297507,,0.163382,,
Veillonella sp. DORA_A_3_16_22,1.6280949,,,0.6297507,,,0.384553,
Leuconostoc sp. DORA_2,0.651238,,0.132151,0.6297507,0.1718416,0.163382,,
Gymnopus androsaceus,,,,0.6297507,,,,
Corynebacterium tapiri,,,0.264302,0.6297507,0.1718416,,,
Lizonia empirigonia,0.976857,,0.264302,0.6297507,0.8592081,0.163382,0.384553,
Pseudomonas saudiphocaensis,,0.6681413,,0.6297507,0.1718416,,,
Microbacterium sp. SUBG005,0.325619,,,0.6297507,1.0310497,,0.8972903,
Vibrio sp. J2-29,1.3024759,0.6681413,,0.6297507,0.8592081,0.163382,,
Sphingobium sp. ba1,,,,0.6297507,0.1718416,,,
Clostridium sp. IBUN22A,,,,0.6297507,,,,
Dickeya phage phiDP23.1,,11.0243318,31604.9663916,0.6297507,22409.3501087,,131.0043824,
Burkholderia sp. MSHR3999,0.651238,,0.7929059,0.6297507,0.5155249,0.163382,0.8972903,
Geobacillus sp. BCO2,,,0.132151,0.6297507,,,,
Pusillimonas sp. T2,,0.3340707,0.132151,0.6297507,,,0.1281843,
Mycoavidus cysteinexigens,,,,0.6297507,,,,
Jaminaea rosea,,,,0.6297507,,,,
Corynebacterium alimapuense,0.325619,0.3340707,0.132151,0.6297507,,,,
Corynebacterium sp. HMSC29G08,,,,0.6297507,,,0.1281843,
Corynebacterium sp. HMSC05D03,,,,0.6297507,,,,
Neisseria sp. HMSC70E02,,,,0.6297507,,,,
Paratricharina poiraultii,,,,0.6297507,,,,
Flavobacterium nitrogenifigens,0.325619,,,0.6297507,,,,
Candidatus Peregrinibacteria bacterium GW2011_GWA2_33_10,,,,0.6297507,,,,
Pseudogymnoascus sp. 24MN13,,,,0.6297507,,,,
Planctomyces sp. SH-PL14,0.325619,,,0.6297507,0.3436832,,,
Citrobacter portucalensis,,,,0.6297507,0.1718416,,0.2563687,
Acinetobacter sp. TTH0-4,,0.6681413,0.7929059,0.6297507,0.6873665,,,
Metarhizium rileyi,,,,0.6297507,,,,
Anaerococcus jeddahensis,,,,0.6297507,,,,
Wallemia mellicola,,,0.132151,0.6297507,0.1718416,,,
Corynebacterium sp. HMSC070H05,,,,0.6297507,,,,
Scytalidium sp.,,1.3362826,,0.6297507,0.1718416,,,
Corynebacterium provencense,,,,0.6297507,,,,
Corynebacterium sp. HMSC076G08,,,,0.6297507,,,,
Corynebacterium sp. HMSC074A09,,,0.132151,0.6297507,0.1718416,,,
Corynebacterium sp. HMSC072B09,,,,0.6297507,,,,
Mangrovihabitans endophyticus,,,0.132151,0.6297507,,,,
Brachybacterium massiliense,,,,0.6297507,,,,
Diaporthe biconispora,,,,0.6297507,,,0.1281843,
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_40_15,,,,0.6297507,,,,
Enterococcus sp. 12E11_DIV0728,,,,0.6297507,,,,
Enterococcus sp. 3C7_DIV0644,,,,0.6297507,,,,
Pedobacter quisquiliarum,1.3024759,0.3340707,0.396453,0.6297507,1.0310497,0.326764,0.2563687,
Lecanosticta gloeospora,0.325619,,,0.6297507,,,,
Blastomonas marina,,,,0.6297507,,,,
Ramularia cerastiicola,,,,0.6297507,,,,
Chryseobacterium sp. 39-10,,,0.132151,0.6297507,,,,
Rhizobiales bacterium,,,,0.6297507,,,,
Sphingobium sp.,,,,0.6297507,1.2028913,,,
Methylococcaceae bacterium HT1,0.325619,,2.1144158,0.6297507,0.1718416,0.6535279,1.4100276,
Streptococcus ruminantium,,13.6968971,0.132151,0.6297507,0.8592081,,0.1281843,
Carboxydocella sp. ULO1,,2.6725653,0.132151,0.6297507,,0.326764,0.1281843,
Rachicladosporium sp. CCFEE 5018,1.6280949,1.3362826,0.132151,0.6297507,0.5155249,,0.2563687,
Candidatus Moranbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_39_10,,,,0.6297507,,,,
Propionibacterium virus P105,,,,0.6297507,,,,
Propionibacterium virus PAS50,,,,0.6297507,,,,
Propionibacterium phage PacnesP1,,,,0.6297507,,,,
Propionibacterium phage PacnesP2,,,,0.6297507,,,,
Ophiocordyceps camponoti-rufipedis,0.325619,,,0.6297507,,,,
Aggregatibacter kilianii,,,,0.6297507,,,,
Planctomycetes bacterium,,0.6681413,,0.6297507,,,,
Veillonella sp. S13053-19,,,,0.6297507,,,,
Glycomyces xiaoerkulensis,,,,0.6297507,,,,
Propionibacterium phage DrParker,,,,0.6297507,,,,
Escherichia sp. E2593,234.1200505,,,0.6297507,,,,
Nocardioides immobilis,0.325619,2.004424,0.132151,0.6297507,3.2649908,0.163382,0.1281843,
Enterobacter sp. EA-1,,,,0.6297507,,,,
Allophoma hayatii,,,,0.6297507,,,,
Pseudomonas inefficax,0.325619,4.3429186,,0.6297507,24.40151,1.4704378,0.769106,
Streptomyces sp. Ru73,,,0.132151,0.6297507,,,,
Lysinibacillus sp. B2A1,0.976857,,,0.6297507,0.1718416,,,
Corynebacterium sp. J010B-136,,,,0.6297507,,,,
Nocardia sp. MDA0666,0.651238,,,0.6297507,,0.163382,0.1281843,
Pseudonocardiales bacterium,,0.6681413,0.132151,0.6297507,,,,
Monosporascus sp. 5C6A,0.651238,0.3340707,,0.6297507,,,,
Laetiporaceae sp. 'Kusaghiporia usambarensis',,,,0.6297507,,,,
Mesosutterella multiformis,0.325619,2.3384946,0.396453,0.6297507,,,,
Clostridium sp. AM25-23AC,0.325619,,0.132151,0.6297507,0.1718416,0.163382,0.2563687,
Scytalidium sp. 3C,0.325619,,,0.6297507,,,,
Aeromicrobium terrae,,,,0.6297507,,,,
Mesorhizobium sp. M00.F.Ca.ET.158.01.1.1,,,,0.6297507,,,,
Lactococcus sp. S-13,,,,0.6297507,0.1718416,,,
Lichenihabitans psoromatis,,,,0.6297507,,,,
Arthonia kermesina,,,,0.6297507,,,,
Neopestalotiopsis sp. 37M,,,,0.6297507,0.5155249,,,
Corynebacterium sanguinis,0.651238,1.002212,0.6607549,0.6297507,0.3436832,,0.6409216,
Janthinobacterium sp. SLB01,0.325619,,,0.6297507,,,,
Saccharopolyspora coralli,,,,0.6297507,,,,
Akanthomyces lecanii,0.651238,,0.132151,0.6297507,,,,
Cellulomonas sp. 40-2,,,,0.6297507,,,,
Azospirillum oleiclasticum,,,,0.6297507,,,,
Nocardia barduliensis,,,,0.6297507,,,,
Corynebacterium sp. Marseille-Q3630,0.651238,,0.132151,0.6297507,,,0.1281843,
Brachybacterium sp. Z12,,,,0.6297507,,,,
Pseudoxanthomonas sp. PXM03,,,,0.6297507,,,,
Cutibacterium phage PAVL21,,,0.264302,0.6297507,,,,
Cutibacterium phage PAVL33,,,,0.6297507,,,0.2563687,
Chromobacterium sp. ASV5,,0.3340707,0.264302,0.6297507,0.1718416,0.4901459,0.5127373,
Devosia sp. MSA67,,,,0.6297507,,,,
Lactobacillus pasteurii,28021.7930275,,10.9685321,,0.1718416,0.163382,,
Streptococcus pyogenes,8314.0295545,3.3407066,0.396453,,1059.5754275,,,
uncultured Escherichia sp.,0.325619,,,,,,,
Cladosporium sp.,0.651238,,,,0.1718416,,,
Rhynchosporium commune,0.325619,,,,,,,
Mangrovibacter sp. MFB070,522.9440906,,,,,,,
Rothia mucilaginosa,1.9537139,10.6902611,1.0572079,,1.0310497,,0.384553,
Bifidobacterium thermophilum,251.0522378,,,,,,,
Achromobacter sp. KAs 3-5,243.8886201,10.0221198,,,11.8570718,0.9802919,134.3371749,
Solanum tuberosum,204.1631039,,,,,,,
Leclercia adecarboxylata,169.6474914,1.002212,0.132151,,1.374733,0.326764,0.5127373,
Escherichia fergusonii,0.325619,0.6681413,25.901594,,,,183.4317722,
Rhodococcus opacus,116.5715968,1.002212,,,1.8902578,4.5746955,94.6000334,
Achromobacter denitrificans,0.325619,7.6836252,,,5.4989318,,1.6663963,
Burkholderia sp. RPE67,46.5635149,,,,28.5257089,,0.2563687,
Corynebacterium appendicis,38.4230403,4.3429186,0.132151,,0.1718416,1.1436739,0.1281843,
Geosmithia morbida,0.325619,,,,,2.6141117,,
Candidatus Doolittlea endobia,22.793329,,,,,,,
Candidatus Erwinia haradaeae,21.1652341,0.3340707,,,,,,
Achromobacter pulmonis,18.2346632,179.7300151,,,188.6820985,1.7972018,5.6401104,
Ophiocordyceps unilateralis,17.2578062,,0.132151,,8.7639226,,,
Beauveria bassiana,1.3024759,,0.528604,,0.5155249,,,
Fusarium kuroshium,15.3040923,,,,,,,
Aspergillus steynii,0.651238,0.6681413,0.264302,,0.3436832,,0.2563687,
Mytilinidion resinicola,0.325619,,,,,,,
Veillonella parvula,4.5586658,7.6836252,,,0.8592081,0.163382,,
Friedmanniomyces simplex,9.7685696,1.002212,0.264302,,,0.163382,0.2563687,
Corynebacterium endometrii,1.6280949,,0.528604,,,,,
Aspergillus terreus,0.976857,,0.264302,,0.1718416,,,
Corynebacterium lactis,9.1173316,0.3340707,0.132151,,,,,
Parageobacillus thermoglucosidasius,8.1404746,,,,,,0.2563687,
Pyrenophora tritici-repentis,7.4892367,0.3340707,2.6430198,,0.3436832,,,
Podospora anserina,0.325619,0.3340707,,,,0.163382,,
Taylorella asinigenitalis,6.8379987,1.6703533,0.7929059,,1.5465746,1.3070558,0.8972903,
Micrococcus sp. HSID17227,6.1867607,,,,,,,
Francisella sp.,5.2099038,1.6703533,,,,,,
Mycobacterium avium,4.8842848,,,,,,6.5374007,
Acinetobacter lwoffii,0.651238,12.3606144,,,,,0.2563687,
Bacteroides stercoris,4.8842848,2.004424,,,0.1718416,,,
Bordetella bronchiseptica,4.5586658,3.0066359,,,19.5899447,0.163382,3.9737141,
Veillonella sp. 3_1_44,4.5586658,6.3473425,,,0.6873665,0.163382,,
Achromobacter ruhlandii,4.2330468,49.4424577,,,48.80302,0.8169099,3.7173455,
Cupriavidus taiwanensis,4.2330468,1.3362826,0.264302,,1.0310497,0.163382,0.769106,
Achromobacter spanius,1.9537139,2.6725653,,,3.7805156,0.163382,1.5382119,
Corynebacterium sp. EPI-003-04-2554_SCH2473622,3.9074278,,,,,,,
Haemophilus haemolyticus,3.5818088,10.3561905,10843.7816098,,1.0310497,40.1919673,0.2563687,
Prevotella melaninogenica,2.6049519,16.0353917,,,0.5155249,0.326764,,
Prevotella timonensis,3.5818088,1.3362826,,,0.5155249,,,
Finegoldia magna,0.651238,,0.9250569,,1.7184162,0.163382,0.6409216,
Candidatus Glomeribacter gigasporarum,3.2561899,,0.528604,,,0.326764,0.1281843,
Myriangium hispanicum,0.651238,0.6681413,0.264302,,,,,
Phocaeicola vulgatus,2.9305709,1.3362826,0.132151,,,,0.1281843,
Enterococcus cecorum,2.9305709,,,,,,0.8972903,
Corynebacterium sp. KPL1995,2.9305709,,,,,,,
Hydrogenophilus thermoluteolus,0.976857,,,,0.5155249,0.163382,,
Pseudomonas putida,0.325619,660.7917654,0.396453,,1803.6496411,34.8003619,258.0350506,
Actinomyces israelii,2.6049519,,,,,,,
Saccharomyces cerevisiae,2.6049519,0.3340707,,,,,,
Corynebacterium urealyticum,1.6280949,0.3340707,0.396453,,0.3436832,,0.1281843,
uncultured Staphylococcus sp.,2.6049519,,,,,,1.6663963,
Staphylococcus pseudintermedius,2.6049519,1.6703533,,,9.4512891,0.9802919,2.8200552,
Streptomyces sviceus,2.6049519,0.6681413,,,0.1718416,,,
Corynebacterium sp. 201281014,1.3024759,,,,,,,
Carboxydocella sp. JDF658,2.6049519,0.3340707,,,2.0620994,0.163382,0.2563687,
Streptococcus suis,1.6280949,136.9689706,126.7327991,,4458.0871416,,0.1281843,
Babesia bigemina,0.651238,,0.132151,,0.3436832,,,
Corynebacterium sp. 110393,0.325619,,,,,,,
Penicillium rubens,0.325619,,,,,,,
Candidatus Nitrosoglobus terrae,2.2793329,2.004424,,,0.1718416,,0.384553,
Bacteroides uniformis,1.9537139,2.004424,,,,,,
Corynebacterium flavescens,1.9537139,0.3340707,0.264302,,20.9646776,,0.384553,
Bacteroides ovatus,1.9537139,3.0066359,,,,,,
Staphylococcus saprophyticus,0.651238,2.3384946,0.264302,,1.0310497,,0.2563687,
Corynebacterium amycolatum,0.651238,0.6681413,,,0.1718416,0.163382,0.2563687,
Mannheimia haemolytica,1.9537139,0.6681413,23.9193291,,8.9357642,21.8931854,20.381308,
Ramularia collo-cygni,1.9537139,,0.132151,,0.1718416,,,
Cercospora beticola,0.325619,0.3340707,,,0.3436832,,,
Diplodia corticola,0.651238,,,,,,,
methanotrophic bacterial endosymbiont of Bathymodiolus sp.,1.9537139,107.2366818,15.1973638,,4.2960405,2.6141117,4.8710044,
Acinetobacter soli,1.9537139,5.3451306,0.396453,,1.0310497,,0.2563687,
Fusarium sp. 2 KO-2010,1.9537139,,0.132151,,,,0.1281843,
Rhizodiscina lignyota,1.9537139,1.3362826,,,0.3436832,,,
Rothia sp. HMSC064F07,1.9537139,1.002212,,,,,,
Thermothielavioides terrestris,0.651238,,0.132151,,,0.163382,,
Gemella morbillorum,1.3024759,,,,,,,
Daphnia magna,1.6280949,1.002212,0.132151,,,,,
Veillonella dispar,1.6280949,10.3561905,0.264302,,0.1718416,,0.769106,
Burkholderia multivorans,1.6280949,2.004424,15119.9233341,,1.5465746,0.326764,0.5127373,
Coprobacillus sp. 8_1_38FAA,1.6280949,0.3340707,,,,,0.6409216,
Achromobacter insuavis,1.6280949,1.002212,0.132151,,2.2339411,,0.2563687,
Campylobacter jejuni,1.3024759,6.6814132,0.264302,,0.1718416,0.4901459,0.6409216,
Neisseria cinerea,0.325619,0.6681413,,,,,,
Streptococcus salivarius,1.3024759,12.6946851,,,0.1718416,0.326764,0.5127373,
Priestia megaterium,1.3024759,1.6703533,0.396453,,,0.4901459,0.1281843,
Limosilactobacillus fermentum,1.3024759,0.3340707,,,,0.163382,,
Brevibacterium linens,0.325619,,,,2.0620994,,0.1281843,
Rothia dentocariosa,0.651238,15.0331797,1.1893589,,0.3436832,,0.2563687,
Brugia malayi,1.3024759,,47.5743563,,0.1718416,0.163382,0.5127373,
[Ruminococcus] gnavus,1.3024759,,0.528604,,4.2960405,2.1239658,2.6918709,
Streptococcus constellatus,0.651238,,0.132151,,0.1718416,,0.1281843,
